 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1965376,202301,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Other not stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Communication Breakdown; Other / Unknown,Party1 Ground Personnel; Party2 Other,,1965376,,,,,,,,,,,,Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR,,,Person Ground Personnel,Other not stated,General None Reported / Taken,Human Factors,Human Factors,"Ramp loaded 2 [airways] bills of radioactive material; but [flight crew documents] showed held off. Shipments [transported] in rear pit to ZZZ.",,,,"Air carrier Ground Personnel reported the undocumented transport of Hazmat cargo. Hazmat cargo was loaded in contrary to the Hazmat documents that indicated Hazmat cargo was not loaded.",
1965385,202301,1201-1800,ZZZZ.Airport,FO,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Ramp,,,,Communication Breakdown,Party1 Ground Personnel; Party2 Dispatch,,1965385,,,,,,,,,,,,Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural FAR,,,Person Ground Personnel,,General None Reported / Taken,Human Factors,Human Factors,"ZZZZ operations agent communicated a cargo pallet (XXXXXX - X; XXX lbs) with excepted lithium ion battery commodities was confirmed loaded in AFT doorway position XXL but was not on board. Final weight manifest was invalidated immediately and corrected. The revision triggered a significant weight change of X; YXX lbs representing 0.90% change from the original take off weight. The change also generated a significant PERCENT MAC change (TRIM) from 24.0 to 21.7 (2.3 adjustment). Flight Dispatch was notified to expect a revised weight manifest with a decrease of 6;000lbs+.XA:24z - Weights sent.XA:45z - Wheels up.XA:59z - Weights invalidated.XB:00z - Cargo staging guide corrected (pallet removed and held off).XB:00z - Revised weights sent to flight dispatch and flight crew.",,,,"Air carrier ground personnel reported the final weights manifest indicated Hazmat cargo was loaded onboard when in fact Hazmat cargo was not loaded. The final weight manifest was invalidated immediately and corrected.",
1965418,202301,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Engine Oil Seals,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Time Pressure; Troubleshooting; Workload,,,1965418,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed As Precaution; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Overweight Landing.  Normal taxi; We departed Runway XX ZZZ. As TO power applied we began to notice burning oil smell on flight deck. I thought about rejecting but it was not my leg and this is not an uncommon thing and dissipates once engines are at pores for a moment. Continued TO and after rotation fumes continued and seemed to increase. Out of 1500 I told ZZZ Tower Controller we were having a fume event and needed an immediate return. I did not declare emergency since there was no visible smoke. We were handed to ZZZ TRACON Departure; turned at 3000 ft. Downwind for Runway XY. I dinged Cabin and asked if they smelled anything; the response was no. I told them we would be returning to ZZZ and they had 10 minutes; let me know if they see anything. During this time odor continued. Didn't get any better. We accomplished after After TO ck; cruz; descent ck and a quick set up and brief of ILS Runway XY. weather was CAVOK. We were over landing weight and deployed Gear and flaps in downwind to burn fuel. I did a rough and dirty calc and figured we would be at landing weight at touchdown. I sent acars to Dispatch and called gate freq in ZZZ to tell them we would need a gate right away.   FO (First Officer) landed perfectly smooth touch. I noted we had touched at 450# over MAX landing weight.  We taxied to fast to gate. I started APU for electric and shut down the Left engine and the result was increase in fumes. We pulled into gate and shut down RH engine and went on APU air. The fumes subsided and I suspect it was the RH engine dumping oil into the bleed air to the pack. Maintenance arrived and Mechanic said he smelled the oil as he entered the plane. Post flight I spoke with ALL the flight attendants and the rear positions said they had strong fumes. The #1 on call said there were no fumes. Some people simply have bad smell? IDK.  A cursery review of the aircraft past history indicated high oil consumption of the RH engine. I had noted this and it was included in my preflight threat assessment briefing to the FO. I did not declare an emergency as the traffic at the airport was not heavy and my priority was getting on the ground ASAP. It was extremely high workload and I commend the FO for the teamwork. I think we covered the bases and actually had to extend the downwind an extra minute to get finished. The Tower was aware of the situation and I assume an alert 1 was issued. I felt further distraction of declaration was not helpful. I fully blame Company maintenance procedures for not identifying and repairing the high oil consumption on the RH engine. They dispatched an aircraft with an ongoing defect. Jets are not Piston engines and high oil consumption should not be deferred and dispatched.Tricresyl phosphate when burned and introduced into cabin can kill. The Airline has a fume event reporting policy and has taken adequate steps to report the downline event reporting. I feel Maintenance diminishes the serious nature of fumes in the cabin. This aircraft should have not been dispatched with high oil burn.",,,,"Air Carrier Captain reported a burning oil odor during takeoff and initial climb which prompted the flight crew to request an immediate return to departure airport. After a safe landing the flight continued to the gate where maintenance met the aircraft.",
1965426,202301,0001-0600,ZZZ.ARTCC,US,,,,36000,,VMC,Wind,,Night,,,,Air Carrier,MD-11,,2,Part 121,IFR,Cargo / Freight / Delivery,,Cruise,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Pitot/Static Ice System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting,,,1965426,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Troubleshooting,,,1965427,Aircraft Equipment Problem Critical; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors; Weather; Aircraft,Aircraft,"A lot was going on in a short period of time. The following is a narrative of events in a linear flow but during the event a lot was happening at the same time.During cruise at FL360; Captain; PF (Pilot Flying); we had an Autopilot Disconnect Warning. I grabbed the yolk and throttles and checked PFD. Captain's PFD showed we were white across the board. Manual on speed; altitude and heading. We were in a slight decent and airspeed was slowing into the lower ft. FO (First Officer) was showing slight decent and airspeed increasing. I made the statement it looked like Airspeed Unreliable. We then had Multiple Level 2 Alerts pop up. We then started to get Over Speed Warnings. We determined that it looked like the FO's info was the more accurate and I slowed down just enough to discontinue the Over Speed Warning. Captain's Airspeed was continuing to decrease (showing 180 kts). I directed the FO to look at the first few steps of one of the 3 Level 2 Alerts. I said the checklist should have a statement that if we have the 3 Level 2 alerts showing it is an Airspeed Unreliable. We confirmed that was correct and started the Airspeed Unreliable checklist.At some point ATC called us and we confirmed we were having major issues. We told them we were correcting to altitude and course. We also said we would get back to them.While the FO started the checklist I was back on altitude and trying to correct to course. I was having trouble getting on course. I then realized that my side was commanding a heading to course based on incorrect winds. My airspeed was down to 80 kts. and showing a wind out of the southeast at over 200 kts. FO was showing winds near flight planned approximately 180 degrees and 120 kts. I contacted ATC and told them we were lost a lot of info and would like a heading. He gave us a heading and offered ZZZ for the nearest airport. I told him we would get back to him.During the Airspeed Unreliable checklist; it showed that our aircraft was equipped with an AUX CADC. Per the checklist we selected it to the Captain's Side. We finished the checklist and got back almost everything we had lost except: SEL FADEC ALT Level 2 was still showing on all 3 engines. We ran the QRH and corrected that Warnings.The only Warning still showing was an ALT Comparator Alert. We discussed the weather at ZZZ1 and felt that with weather at 1;500 ft. we could make a safe ILS approach. Captain's; FO's and Standby Altimeter were all with in 150 ft.We then contacted Dispatch and told them what we had. We also confirmed with them our plan to continue to ZZZ. They saw no problems with continuing to ZZZ.",,"During cruise at FL360; the Autopilot disconnected. Captain was Pilot Flying and grabbed the controls. My instruments showed us in a descent with increasing airspeed. Captain's instruments were showing a descent and his airspeed was decreasing. Captain said that it looked like an unreliable airspeed. My instruments started showing an overspeed condition; and we started getting the associated warning with that. We also had multiple level 2 Alerts displayed so I started the checklist for the Select FADEC ALT (The first Level 2 Alert displayed); which along with the other Level 2 Alerts; directed me to the Unreliable Airspeed checklist; which I began. At that time we determined that it was my side's instruments that were correct; due to their correlation to the standby instruments. The Captain's Airspeed Indication dropped to as low as 90 kts. Captain then slowed down to stop the Over Speed. ATC queried us about being off on our altitude and I told them that we were working an instrumentation issue but we were working on getting back on course and altitude and we would get back with them. Captain was trying to maintain course towards the fix; but because of his incorrect data we were not going the right direction. We requested a heading assignment from ATC while we continued to work the issue; which they gave us. At some point around this time; ATC offered us ZZZ as the nearest airport if we needed to divert. The checklist directed us to switch the AUX CADC to the Captain's side. When we did that his airspeed data returned to normal. The Select FADEC ALTN level 2 Alert was still Illuminated; so we ran that checklist and it cleared the Alert. We were able to get back on course and reengage the Autopilot after that. The only remaining issue was an Altitude Comparison Advisory; because there was about a 150 ft. difference between my and the Captain's Altitude reading. We discussed how to proceed and neither one of us thought that the small altitude split would prevent safely continuing to ZZZ1; so we continued. We contacted company as well and they saw no issue with continuing on to ZZZ1. Remainder of the flight continued without incident.I believe this event was caused by the Captain's pitot tube becoming blocked by ice crystals; as we were in the tops of clouds at high altitude for an extended period of time. This caused the loss of useful airspeed data on his side; which caused the autopilot disconnect; leading the Captain to attempt to maintain proper speed; course and altitude with bad airspeed data.",,"MD-11 flight crew reported an Autopilot Disconnect Warning in cruise. This was followed by numerous Airspeed Warnings. The flight crew ran the QRH and elected to continue to destination airport.",
1965439,202301,0601-1200,ZZZ.Airport,US,,,900,,,VMC,,,Daylight,,,,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,INS / IRS / IRU,1,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,,,Troubleshooting,,,1965439,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed As Precaution; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors; Weather,Aircraft,"We were operating Aircraft X; ZZZ-ZZZ1 on Date. On the climb out (900 ft. AGL) the PM (Pilot Monitoring) IRS system completely failed. The PF (Pilot Flying) (mine) IRS continued to operate for a bit but also eventually failed and disconnected the Auto Pilot. We alerted departure to the loss of instrumentation and requested a vector. Using the magnetic compass and standby ISI we leveled off at 5;000 ft. and flew the vector. Shortly after we requested a climb to 10;000 ft. to leave the IMC conditions and to better run our QRH/Checklist. We soon realized the failure and decided that a return to ZZZ was the best option. The clouds were high enough for an eventual visual approach. ATC gave us a no gyro approach until we were able to get the ILS GS and then runway insight to land. Upon landing there was no further action required beyond returning to a gate and alerting Maintenance. We are unsure of the cause for the failure. The only reason we had to return is both systems fully failed.There is not much we can do about the failure. I do think having flown a no gyro approach in the sim I felt much more comfortable with the situation as a whole.",,,,"CRJ-900 First Officer reported a dual IRS failure in flight. The flight crew requested vectors and performed an air turn back. The flight crew performed a no gyro approach and landing at departure airport.",
1965631,202301,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Cockpit/Cabin Communication,CIDS,X,Improperly Operated; Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Door Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Situational Awareness; Confusion,Party1 Flight Attendant; Party2 Other,,1965631,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Automation Aircraft Other Automation; Person Flight Attendant,In-flight; Aircraft In Service At Gate,General None Reported / Taken,Aircraft,Aircraft,"Emergency Exit Signs: All illuminated all the time. Wiring issue. Please ensure all emergency lights are off as these are to only be on during an emergency. Additionally; having these lights on all the time disturbs our Customers. Having these turned off would be consistent across the fleet. This is a safety hazard:A. Defeats the purpose of Flight Attendant (FA) turning on emergency lights.B. Passengers get accustomed to emergency exit lights always being on; thus; during an emergency; eyes are not directed toward exits because their eyes have gotten so used to those exit lights always being on; thus increasing time needed to locate an exit and reducing quick evacuation.C. Harsh and bright light always being on is extremely Customer unfriendly as passengers are unable to rest their eyes and relax; most especially on early morning and late night flights.D. Ensuring emergency lights are only on when activated by FA would create necessary consistency with entire fleet.E. No other fleet type has emergency exit lights always on. Please ensure emergency exit lights are off at all times unless activated for consistency.Please audit entire Airbus fleet to ensure emergency exit lighting wiring is correct; that emergency lights are only illuminated when activated by FA pressing Emergency Lights button on FA panel; and extinguished at all other times. Please make the default setting for emergency exit lights to be off for all Airbus aircraft. Please create a maintenance message to address this so these can be fixed as soon as possible. Emergency lights should only be on when FAs or Pilots activate these in emergency situations; not constantly; please help. Thanks!",,,,"A319 Flight Attendant reported concerns over Emergency Exit Light operations on aircraft.",
1965649,202301,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,,Passenger,,Parked,,,N,N,Y,Y,Scheduled Maintenance,Inspection; Testing; Work Cards,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Other Exterior,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Troubleshooting; Communication Breakdown; Situational Awareness,Party1 Maintenance; Party2 Other,,1965649,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR,,,Person Maintenance,Routine Inspection,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Procedure; Human Factors; Aircraft,Procedure,"Aircraft X came to hangar with large portion of inlet cowl acoustic wire mesh torn and missing. I wrote up a discrepancy for possible engine ingestion due to the amount of mesh missing. I then found out that it was partly signed off using a bird ingestion work card and it was signed off by management; not by Maintenance saying that no Borescope was required and that there was no evidence of ingestion.",,,,"Technician reported a discrepancy they had entered in the aircraft log book was not addressed correctly and was cleared by other personnel without appropriate maintenance actions.",
1965650,202301,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Air Carrier,Commercial Fixed Wing,,,Part 121,IFR,Passenger,,Parked,,,N,Y,N,Y,Unscheduled Maintenance,Repair; Inspection; Testing; Work Cards,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,,,,1965650,Aircraft X,Flight Deck,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Human-Machine Interface,,,1965651,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter FOD,,N,Person Maintenance,Aircraft In Service At Gate; Routine Inspection,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Received call for road trip to ZZZ for issues on Engine 2 abnormal pressure logbook item on Aircraft X. As I got ready to take my trip with my partner; we requested a 3rd person from Management but was rejected. Once we arrived to ZZZ; weather conditions were dark; extremely wet and wind gust at approximately 48 kts. We were troubleshooting the system and ran both engines multiple times for T/S purposes. After finding and resolving the issue on the engine; we requested from Fleet  Service to provide us Marshallers front and back of the engine so we can continue the operations check. When we started engine 2 and heard a loud noise to which we immediately shut down the engine. Once we approached the engine; we found several blades damaged.",,"Received a road trip call to ZZZ for engine 2 abnormal pressure on Aircraft X. when I was getting ready to take my trip with my partner; we requested a 3rd person from Management; but it was rejected. after arrival; we had dark; extremely wet and wind gusts approximately up to 48 kts. We troubleshot the system and ran both engines multiple times for T/S purposes. After finding and resolving the issue on the engine; we requested from Fleet Service to provide us Marshallers front and back of the engine so we can continue the operations check. When we started Engine 2 and heard a loud noise to which we immediately shut down the engine. once we approached the engine; we found several blades damaged.",,"Technicians reported FOD damage to fan blades during a post Engine Change Engine Static run.",
